"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260808","경인선","백운","4913","4799","20260811"
"20260808","6호선","버티고개","1461","1410","20260811"
"20260808","과천선","범계","22288","21902","20260811"
"20260808","경춘선","별내","1959","1716","20260811"
"20260808","경부선","병점","12651","12553","20260811"
"20260808","신림선","보라매","3315","2835","20260811"
"20260808","7호선","보라매","5152","5067","20260811"
"20260808","신림선","보라매공원","1529","1651","20260811"
"20260808","신림선","보라매병원","3731","3722","20260811"
"20260808","6호선","보문","5504","4974","20260811"
"20260808","우이신설선","보문","1459","1447","20260811"
"20260808","경원선","보산","1498","1401","20260811"
"20260808","분당선","보정","1598","1450","20260811"
"20260808","분당선","복정","2","0","20260811"
"20260808","8호선","복정","5746","4796","20260811"
"20260808","장항선","봉명","787","702","20260811"
"20260808","9호선2~3단계","봉은사","19730","21721","20260811"
"20260808","2호선","봉천","18015","16343","20260811"
"20260808","6호선","봉화산(서울의료원)","5149","4906","20260811"
"20260808","경인선","부개","5900","5500","20260811"
"20260808","경강선","부발","2184","1842","20260811"
"20260808","경인선","부천","27467","27712","20260811"
"20260808","서해선","부천종합운동장","1894","1596","20260811"
"20260808","경인선","부평","27968","30617","20260811"
"20260808","우이신설선","북한산보국문","4542","3850","20260811"
"20260808","우이신설선","북한산우이","3175","3503","20260811"
"20260808","6호선","불광","5014","4146","20260811"
"20260808","3호선","불광","12971","14314","20260811"
"20260808","4호선","불암산","7861","7373","20260811"
"20260808","7호선","사가정","11712","11358","20260811"
"20260808","4호선","사당","21084","19476","20260811"
"20260808","2호선","사당","34921","37954","20260811"
"20260808","경춘선","사릉","1437","1289","20260811"
"20260808","수인선","사리","3406","2882","20260811"
"20260808","9호선","사평","3057","2830","20260811"
"20260808","안산선","산본","13201","14002","20260811"
"20260808","8호선","산성","4113","4222","20260811"
"20260808","4호선","삼각지(전쟁기념관)","6256","8509","20260811"
"20260808","6호선","삼각지(전쟁기념관)","7149","6325","20260811"
"20260808","경강선","삼동","1440","1351","20260811"
"20260808","2호선","삼성(무역센터)","39245","34917","20260811"
"20260808","9호선2~3단계","삼성중앙","3888","3931","20260811"
"20260808","일산선","삼송","14119","13443","20260811"
"20260808","우이신설선","삼양","2027","1994","20260811"
"20260808","우이신설선","삼양사거리","2315","2064","20260811"
"20260808","9호선2~3단계","삼전","6094","5589","20260811"
"20260808","분당선","상갈","3458","3460","20260811"
"20260808","4호선","상계","14197","13146","20260811"
"20260808","7호선","상도","8176","7414","20260811"
"20260808","안산선","상록수","10860","11046","20260811"
"20260808","중앙선","상봉","4938","4862","20260811"
"20260808","7호선","상봉","14847","14525","20260811"
"20260808","6호선","상수","10308","12111","20260811"
"20260808","2호선","상왕십리","10265","9768","20260811"
"20260808","6호선","상월곡(한국과학기술연구원)","4249","3590","20260811"
"20260808","5호선","상일동","8981","8787","20260811"
"20260808","경춘선","상천","399","405","20260811"
"20260808","6호선","새절(신사)","8402","7900","20260811"
"20260808","9호선","샛강","3090","3202","20260811"
"20260808","신림선","샛강","1148","1462","20260811"
"20260808","경의선","서강대","1861","1758","20260811"
"20260808","5호선","서대문","7382","7299","20260811"
"20260808","경부선","서동탄","937","945","20260811"
"20260808","경원선","서빙고","1619","1479","20260811"
"20260808","신림선","서울대벤처타운","7850","6850","20260811"
"20260808","2호선","서울대입구(관악구청)","36662","33991","20260811"
"20260808","분당선","서울숲","9236","9184","20260811"
"20260808","1호선","서울역","62999","61327","20260811"
"20260808","공항철도 1호선","서울역","14737","13947","20260811"
"20260808","경의선","서울역","1093","1204","20260811"
"20260808","경부선","서울역","11341","3958","20260811"
"20260808","4호선","서울역","7671","17532","20260811"
"20260808","신림선","서울지방병무청","2210","2452","20260811"
"20260808","신림선","서원","3001","2584","20260811"
"20260808","경부선","서정리","8364","7090","20260811"
"20260808","2호선","서초","11922","10669","20260811"
"20260808","분당선","서현","18085","18605","20260811"
"20260808","경원선","석계","7357","7582","20260811"
"20260808","6호선","석계","6927","6814","20260811"
"20260808","경부선","석수","5448","5086","20260811"
"20260808","9호선2~3단계","석촌","8231","7073","20260811"
"20260808","8호선","석촌","7297","8540","20260811"
"20260808","9호선2~3단계","석촌고분","5490","5239","20260811"
"20260808","분당선","선릉","5613","8330","20260811"
"20260808","2호선","선릉","27903","24402","20260811"
"20260808","과천선","선바위","4671","3908","20260811"
"20260808","9호선","선유도","4234","3939","20260811"
"20260808","분당선","선정릉","3477","3388","20260811"
"20260808","9호선2~3단계","선정릉","5406","5811","20260811"
"20260808","경부선","성균관대","10722","10516","20260811"
"20260808","경강선","성남","997","923","20260811"
"20260808","2호선","성수","48392","51927","20260811"
"20260808","우이신설선","성신여대입구(돈암)","3214","3624","20260811"
"20260808","4호선","성신여대입구(돈암)","18488","17701","20260811"
"20260808","경부선","성환","3343","3141","20260811"
"20260808","경부선","세류","2800","2851","20260811"
"20260808","경부선","세마","2642","2325","20260811"
"20260808","경강선","세종대왕릉","367","372","20260811"
"20260808","수인선","소래포구","3601","3672","20260811"
"20260808","경인선","소사","5516","5133","20260811"
"20260808","경원선","소요산","2995","3021","20260811"
"20260808","우이신설선","솔밭공원","1895","1797","20260811"
"20260808","우이신설선","솔샘","3836","3426","20260811"
"20260808","경인선","송내","16916","16455","20260811"
"20260808","수인선","송도","1763","1543","20260811"
"20260808","5호선","송정","5041","4937","20260811"
"20260808","경부선","송탄","4659","4176","20260811"
"20260808","8호선","송파","7087","6671","20260811"
"20260808","9호선2~3단계","송파나루","5391","5714","20260811"
"20260808","분당선","수내","7237","6802","20260811"
"20260808","7호선","수락산","10819","10678","20260811"
"20260808","안산선","수리산","2788","2333","20260811"
"20260808","경의선","수색","1787","1721","20260811"
"20260808","분당선","수서","13569","14480","20260811"
"20260808","3호선","수서","14280","13658","20260811"
"20260808","분당선","수원","7249","7219","20260811"
"20260808","경부선","수원","41497","45014","20260811"
"20260808","분당선","수원시청","11135","12034","20260811"
"20260808","4호선","수유(강북구청)","27440","26669","20260811"
"20260808","8호선","수진","4336","3998","20260811"
"20260808","4호선","숙대입구(갈월)","10964","11262","20260811"
"20260808","7호선","숭실대입구(살피재)","8630","8322","20260811"
"20260808","수인선","숭의","2874","2555","20260811"
"20260808","2호선","시청","13600","11313","20260811"
"20260808","1호선","시청","15795","16281","20260811"
"20260808","분당선","신갈","2877","2806","20260811"
"20260808","5호선","신금호","4107","4160","20260811"
"20260808","경부선","신길","5332","4694","20260811"
"20260808","5호선","신길","3577","3517","20260811"
"20260808","안산선","신길온천","1664","1491","20260811"
"20260808","6호선","신내","2","0","20260811"
"20260808","경춘선","신내","1813","1626","20260811"
"20260808","9호선","신논현","27352","28759","20260811"
"20260808","2호선","신답","1019","1109","20260811"
"20260808","2호선","신당","12065","13068","20260811"
"20260808","6호선","신당","7474","6779","20260811"
"20260808","2호선","신대방","19165","17613","20260811"
"20260808","7호선","신대방삼거리","11011","10341","20260811"
"20260808","2호선","신도림","40382","38788","20260811"
"20260808","경부선","신도림","2800","3552","20260811"
"20260808","경강선","신둔도예촌","1207","1092","20260811"
"20260808","신림선","신림","2085","2368","20260811"
"20260808","2호선","신림","46657","44796","20260811"
"20260808","9호선","신목동","2425","2249","20260811"
"20260808","9호선","신반포","3556","3430","20260811"
"20260808","9호선","신방화","4914","4568","20260811"
"20260808","3호선","신사","19165","20077","20260811"
"20260808","2호선","신설동","3567","3436","20260811"
"20260808","1호선","신설동","10402","9735","20260811"
"20260808","우이신설선","신설동","1581","1508","20260811"
"20260808","4호선","신용산","20407","23486","20260811"
"20260808","중앙선","신원","167","129","20260811"
"20260808","경원선","신이문","5924","5433","20260811"
"20260808","5호선","신정(은행정)","9257","8077","20260811"
"20260808","2호선","신정네거리","6576","6362","20260811"
"20260808","장항선","신창(순천향대)","1068","1031","20260811"
"20260808","2호선","신촌","34513","34759","20260811"
"20260808","경의선","신촌","374","424","20260811"
"20260808","수인선","신포","1246","1340","20260811"
"20260808","7호선","신풍","8577","8030","20260811"
"20260808","8호선","신흥","4808","4934","20260811"
"20260808","4호선","쌍문","21359","19271","20260811"
"20260808","장항선","쌍용(나사렛대)","1779","1644","20260811"
"20260808","장항선","아산","3317","2898","20260811"
"20260808","중앙선","아신","506","505","20260811"
"20260808","5호선","아차산(어린이대공원후문)","10966","10436","20260811"
"20260808","2호선","아현","7851","7220","20260811"
"20260808","3호선","안국","16731","17533","20260811"
"20260808","안산선","안산","9175","9810","20260811"
"20260808","6호선","안암(고대병원앞)","6254","5940","20260811"
"20260808","경부선","안양","16912","16498","20260811"
"20260808","8호선","암사","11671","10856","20260811"
"20260808","8호선","암사역사공원","4491","3968","20260811"
"20260808","3호선","압구정","24061","25494","20260811"
"20260808","분당선","압구정로데오","16728","18460","20260811"
"20260808","5호선","애오개","3937","3852","20260811"
"20260808","경의선","야당","5818","6340","20260811"
"20260808","수인선","야목","534","413","20260811"
"20260808","분당선","야탑","17430","18032","20260811"
"20260808","6호선","약수","2582","2739","20260811"
"20260808","3호선","약수","9129","8754","20260811"
"20260808","중앙선","양수","1665","1776","20260811"
"20260808","중앙선","양원","1899","1794","20260811"
"20260808","3호선","양재(서초구청)","19001","19963","20260811"
"20260808","중앙선","양정","397","355","20260811"
"20260808","경원선","양주","5624","5411","20260811"
"20260808","2호선","양천구청","4172","4183","20260811"
"20260808","9호선","양천향교","5894","5646","20260811"
"20260808","중앙선","양평","3544","3687","20260811"
"20260808","5호선","양평","4257","4053","20260811"
"20260808","7호선","어린이대공원(세종대)","9713","8908","20260811"
"20260808","수인선","어천","1186","1099","20260811"
"20260808","9호선2~3단계","언주","7052","7115","20260811"
"20260808","5호선","여의나루","13082","15032","20260811"
"20260808","5호선","여의도","14079","15827","20260811"
"20260808","9호선","여의도","16696","15992","20260811"
"20260808","경강선","여주","2998","3084","20260811"
"20260808","경인선","역곡","17616","17732","20260811"
"20260808","2호선","역삼","18955","20561","20260811"
"20260808","6호선","역촌","3204","3486","20260811"
"20260808","수인선","연수","3869","3938","20260811"
"20260808","3호선","연신내","29339","27594","20260811"
"20260808","6호선","연신내","2","0","20260811"
"20260808","경원선","연천","1808","1702","20260811"
"20260808","9호선","염창","12919","11680","20260811"
"20260808","경부선","영등포","47056","49095","20260811"
"20260808","2호선","영등포구청","13833","14052","20260811"
"20260808","5호선","영등포구청","2683","2518","20260811"
"20260808","5호선","영등포시장","8421","7947","20260811"
"20260808","공항철도 1호선","영종","4054","4153","20260811"
